"","Var1","Freq"
"1","
EHH
",1
"2","
iHS
",1
"3","
newhybrids
",1
"4","
r
",1
"5","approximate Bayesian computation",1
"6","Bayesian",1
"7","Bias",1
"8","binary outcomes",1
"9","bioequivalence",1
"10","biomarker analysis",1
"11","Biostatistical software",1
"12","biostatistics",1
"13","Brazil",1
"14","cardiovascular disease",1
"15","Children",1
"16","clinical trials",1
"17","cluster randomised",1
"18","combined models",1
"19","competing risks",1
"20","competition",1
"21","Confounding factors",1
"22","conservation genetics",1
"23","coverage",1
"24","cross-over",1
"25","cumulative incidence functions",1
"26","curriculum development",1
"27","curriculum evaluation",1
"28","cytotoxic agent",1
"29","data mining",1
"30","Delivery of health care",1
"31","demographic history",1
"32","DerSimonian-Laird",1
"33","Diagnosis",1
"34","dose-finding",1
"35","ECG arrhythmia data",1
"36","Enteropathy",1
"37","epidemiology",1
"38","European Medicines Agency",1
"39","evidence-based practice",1
"40","evolutionary theory",1
"41","Expectation–maximization algorithm",1
"42","exploratory subgroup analysis",1
"43","footprints of selection",1
"44","Forensic genetics",1
"45","forward-time",1
"46","FTIR spectroscopy",1
"47","genomic scans",1
"48","Gluten",1
"49","goodness-of-fit test",1
"50","Haplotype reconstruction",1
"51","Health impact assessment",1
"52","health professional",1
"53","heterogeneity",1
"54","heterogeneous groups",1
"55","highly variable drugs",1
"56","Hospitalization",1
"57","Hull-less barley",1
"58","human immunodeficiency virus",1
"59","hybrid",1
"60","ideal cardiovascular health",1
"61","incidence rate",1
"62","Inla",1
"63","intra-cluster correlation coefficient (ICC)",1
"64","intraguild predation",1
"65","introgression",1
"66","kernel density",1
"67","Knapp-Hartung",1
"68","Latin America",1
"69","lifelong learning",1
"70","likelihood",1
"71","likelihood inference",1
"72","log odds ratio",1
"73","Mahalanobis",1
"74","Mahalanobis distance",1
"75","Mandel-Paule",1
"76","Markov chain Monte Carlo",1
"77","maximum likelihood estimation",1
"78","Mcmc",1
"79","meta-analysis",2
"80","metafor",1
"81","model selection",1
"82","Molecular weight",1
"83","Monte-Carlo simulation",1
"84","mortality",1
"85","multiplicity control",1
"86","Multiplicity of infection",1
"87","negative binomial model",1
"88","null model",1
"89","Observational studies",1
"90","open-source",1
"91","outlier detection",1
"92","overdispersion",1
"93","Pneumococcal conjugate vaccines",1
"94","Pneumococcal vaccines",1
"95","Pneumococcus",1
"96","Pneumonia",1
"97","population dynamics",1
"98","population genetics",2
"99","population genetics - theoretical",1
"100","population genomics",1
"101","population structure",1
"102","power analysis",1
"103","precision medicine",1
"104","predictive biomarker",1
"105","prevalence",1
"106","primary prevention",1
"107","principal component analysis",1
"108","profile likelihood",1
"109","proportional subdistribution hazards",1
"110","prospective study",1
"111","Public health",1
"112","R package",1
"113","random effect model",1
"114","random effects",1
"115","randomised trial",1
"116","reference-scaling",1
"117","reference prior",1
"118","REML",1
"119","Research methods",1
"120","resilience indicators",1
"121","Response surface method",1
"122","retrospective study",1
"123","risk factors",1
"124","Rsb",1
"125","segmented polynomials",1
"126","simulation",2
"127","simulations",1
"128","Single nucleotide polymorphisms",1
"129","software",1
"130","Software training and testing",1
"131","Software validation",1
"132","ß-d-Glucan",1
"133","statistical education",1
"134","survival data",1
"135","the coalescent",1
"136","time series",1
"137","trophic cascade",1
"138","Ultrasound-assisted extraction",1
"139","undergraduate",1
"140","Vaccines",1
"141","Validation and verification",1
"142","XP-EHH",1
"143","zero-inflated model",1
